pgpid,type,tags,description
8716,Letter,,"Petition to a Gaʾon by ʿa lonely orphan girl’, who had been married for ten years to a man who had taken her earnings, given her nothing, and criticized her publicly. She previously sought a divorce but this was not granted. She asks that the Gaʾon excommunicate her husband and provide her with a certificate confirming her respectability. The petition is written in a crude hand, perhaps by the woman herself. (Information from CUDL.) Translated in Goitein, Mediterranean Society, V, 201: ""I[n Your name, o Merciful]. I hereby inform your Excellency, our Gaon—may his Rock preserve him—that I am a lonely orphan girl whom they have married to a man with no means of support. I have been with him for ten years, and he has always taken what I earned. Finally, when I was in shreds, with nothing to cover me properly, I said to him: ""I shall not give you a thing anymore. I'll buy myself clothing with what I earn."" He is not worth a thing, not even one dinar. For a year or more he has given me a bad name. I went to the judges and offered to buy myself free with everything due me from him to save my honor. But they did not grant me a divorce. By God, my honor is worth something to me! I am requesting now that the Torah scroll be taken out and that he who acted in this way and tells lies about me be excommunicated, and that I be given a certificate clearing [my honor] for God's sake. Thus you will save me from a Hell, which no one knows except God. May your welfare increase and never decrease. Amen, in eternity, Sela."""
8724,Letter,"Shelomo b. Eliyyahu, ketubba, qadi court, Jews in Islamic courts","Shelomo b. Eliyyahu writes to a notable, ""I was told that you have made a marriage contract (ṣadāq) for your daughter at a Muslim court. I cannot believe it."" Med Soc III, p. 444, n. 50. Information from Goitein's note card."
8744,Legal document,,"Legal document, possibly a draft. Location: New Cairo. Dated: Kislev 1542 Seleucid (=November/December 1230 CE). Abū l-Ṭāhir Hiba b. Yosef the superintendent (al-qayyim) of the small synagogue in Alexandria (see Med Soc II, 77) has to return to his brother's son Sulaymān everything that he owes him, including some 60 jars of wine after the marriage (imlāk) of (Sulaymān with?) Abu l-Tahir's daughter, which had been concluded a long time ago, was dissolved. It is ambiguous whether the job title ""qayyim"" refers to Abū l-Ṭāhir himself or to his father. (Information from Goitein's index card.)"
8747,Letter,,Recto: Holiday greetings to the Nasi Shelomo. Dating: ca. 1240 according to Goitein.
8776,Letter,synagogue,"Informal note without the names of the sender or addressee (as was common in notes exchanged between friends). In Judaeo-Arabic. Written on a long vertical strip of paper. The scribe may be Shelomo b. Eliyyahu (per Goitein). Dating: Probably late 12th or 13th century. The sender opens, ""What is the reason for this anger?! It is senseless and misplaced."" He apologizes for not meeting the addressee out of fear that they would attract a crowd at the synagogue. He wants the addressee to come see him: ""from the day that you departed... my temperament has not been balanced."" (Information in part from Goitein's index card and Med Soc V, p. 505n7.)"
8820,State document,"DIMME, lost archive, handbook, sugar, kharaj, Officials, Decree, internal memorandum","Bottom part of a decree of a Fatimid Amīr titled Surūr al-Malikī to a provincial governor or fiscal official, dated 2 Jumāda II, no year. Concerns collection of the kharāj on the refining of sugarcane (qaṣab) and taro (qulqās) in the village of Jūjar, where there was a press. The men of a high official (amīr muntakhab) titled Dhukhr al-Mulk wa-Sadīduhā (Treasure and Bulwark of the Realm) should be allowed to collect tax as the latter sees fit, while allowing the iqṭāʿ holders their income. Glued at top to a Judaeo-Arabic letter (see separate entry)."
8851,Letter,"illness letter 969-1517, tax, capitation tax, illness: prayer, illness: public figure, charity, iftiqad, illness: recovered, kharaj, prayer, illness: upper class, Illness, Appeal","Letter of appeal from a cantor to a certain Moshe ha-Sar who is in government service. The letter also addresses Ṣedaqa ha-Sar. He asks for assistance in the payment of his capitation tax, of five months of rent, and of three months of payment incumbent on him from a promissory note. The writer had led prayers for Moshe's health during the public services in the syngaogue, and the prayer was evidently heard. He now conveys wishes for full recuperation and that the addressee will retain the favor of the sultan and his entourage (Goitein suggests that this refers to a new sultan, possibly Saladin). ASE."
8852,Letter,Shelomo b. Eliyyahu,"Letter from Shelomo b. Eliyyahu, in Fustat, to Abū l-Barakāt b. Abū Manṣūr al-Ḥarīrī, in Alexandria. Contains many greetings to and from various family members. See also ENA 2559.10 (PGPID 12340)."
8863,Letter,,"Letter from a certain Meʾir to his 'friend and brother' Abū ʿImrān ('ha-talmid ha-navon'). In Judaeo-Arabic. The sender's hand is familiar from other documents (distinctive qofs). Dating: probably 12th or early 13th century. שׁnnouncing his arrival and greeting the trustee Abū l-Makārim, the cantor Abū Manṣūr, Abū l-Munā, and various relatives. He also requests a detailed update on the news of the country, as if he were present, ""and who died."" (Information in part from Goitein's index card.)"
8866,Legal document,"13th c, bazaar","Legal testimony. In Judaeo-Arabic. Location: Fustat. Dated: Wednesday, 17 Adar 1536 Seleucid = 26 February 1225 CE. Signed by Eliyyahu the Judge and Pinḥas b. Sheʾerit ha-Kohen. About an auction by criers and brokers in the bazaar of clothing, likely from the property of an orphan. Same cluster: T-S AS 157.434 (PGPID 38900), CUL Or.1080 J64 (PGPID 8866), and T-S NS J299 (PGPID 4311).

Reused on verso for Hebrew writing exercises and accounts (mainly of food items) in Arabic script and Greek/Coptic numerals."
8872,Legal document,"Partnership, Ulla ha-Levi","Legal document. Partnership agreement. Dating: ca. 1090 CE. In the hand of Hillel b. ʿEli. One ‘Ulla and one Yaḥyā release one another from a partnership. These individuals are likely Abū al-Ḥasan Yaḥyā b. Samuel ha-Kohen al-Baghdādī and Abū al-‘Alā ‘Ulla b. Joseph ha-Levi al-Dimashqī, who repeatedly release one another and rekindle their partnership in a number of documents in the Geniza corpus. The majority of the present document concerns the establishment of a 2-year long-distance trading partnership. This release from that partnership includes the text of the contract. One of the partners invested 120 dinars, and the other one 150. Both partners would trade actively. Profits and losses are to be split evenly. The active partner is liable for losses at sea, a departure from the commenda model (see also the verso of T-S K25.153, PGPID 9291, for an example). On the verso there are jottings and accounts in Arabic script and Greek/Coptic numerals (""expenses on Sunday: syrup(?)... sugar... a cup of [...]... chicken: 3....""). (Information from Lieberman, ""A Partnership Culture"", pp. 273-274; and from Goitein’s index card.)"
8876,Letter,"illness letter 969-1517, tax, capitation tax, jaliya, Illness","Verso: Letter from a father, unknown location, to his son Baqāʾ, in Fustat. The letter was sent to the shop of Meshullam/Musallam to be held for the addressee. In Judaeo-Arabic. Dating: ca. 12th century. Written on the back of an Arabic petition to a high Fatimid official; Goitein suggests that the sender of the Judaeo-Arabic letter could have been an official in the same office (hence with access to this scrap paper). The father has sent 20 dirhams with Abū l-ʿAlāʾ, of which 11 dirhams are for the capitation tax and the remainder for his wife (""bayt""). He exhorts his son to behave well (ḥusn al-ʿishra) with the latter's mother, wife, and siblings. He alludes to various sorts of grief and illness affecting both the family members and himself. (Information in part from CUDL and Goitein's index card.) ASE"
8877,Letter,"teacher, loan, credit","Letter from Bu l-Khayr to the local school teacher, asking him for a loan of 400 dirhams against a security to help him out until his partner Manṣūr comes back. (Information from Goitein’s index card)"
8888,Letter,"recommendation, convert, Christian scribes","Letter by Shemuel b. Yiṣḥaq ha-Sefaradi to [Shemarya] b. Elḥanan. In Hebrew. Dating: Early 11th century, probably. Letter of recommendation for a proselyte of noble descent whom he met in Damascus and later in Jerusalem and who was in danger because of the powerful Christian scribes. Edited with extensive commentary (and speculative identifications) by Golb, “A Study of a Proselyte to Judaism Who Fled to Egypt at the Beginning of the Eleventh Century,"" Sefunot 8 (1964). Transcription by Golb, with minor corrections by Moshe Yagur."
8890,Legal document,"Moshe b. Levi, Abu Sahl Levi, DIMME, Yedutun ha-Levi","Bill of sale dated December 481/1088 (original document), in which Khulayf b. ʿUbayd b. ʿAlī sells a house to Hārūn b. Khulayf b. Hārūn, the perfumer, a Jew. There are two addenda on verso written a century after the original. Above, Abū Sahl b. Ibrāhīm makes a gift of the house to his son Abū l-Ḥasan the physician; below, Mūsā b. Abū Sahl rents part of it from his brother Abu l-Ḥasan. (Goitein, Med Soc, III:479)."
8909,Letter,"India, IB5","Letter from Abū Zikrī Kohen in Fustat, to Abū Zikrī Yaḥyā b. Sulaymān b. al-Shāmī, in ʿAydhāb. In Judaeo-Arabic. Dated: Ṭevet 1452 Seleucid = December 1140 / January 1141 CE. Deals with business matters, mentioning commodities such as camphor, brazilwood, and frankincense. 

Goitein's handwritten description in his notes:
""The letter is directed to the East African port ʿAidhāb, for the writer like asks the receiver to take action there, cf. top, l.1–verso, l.7. It was sent from Cairo, for the sender reports that people were going up to ʿAidāb top, ll. 6–8, and he includes a list of prices with the request to buy at the receiver's place. No. 244 is instructive in various respects. It shows us the motivation of the representative of the merchants of Cairo as that of ʿAidhāb. The way in which Abū Zikrī asks the receiver to look after the novice Mufaḍḍạl, verso ll.7–14, is tantamount to an outright command and the same could be said about his order to deal with the goods saved from the Dībājī's ship, margin l.6–verso l.7. Likewise we find the Wakīl of ʿAidhab in charge of the goods saved from Dībājī's boat, although another man, Akbar, had received them. To be sure, the merchants concerned, both Muslims and Jews, had entrusted the Wakīl with this task. On the other hand, it is astonishing that the Muslim merchants and one Jew, Nahrai, had to make the long and dangerous journey from Cairo to ʿAidhāb in order to take over their goods. [[Most probably great quantities were involved.]] In no. [reference to be inserted later] we find Nahrai setting out from ʿAidhāb in the Dībājī's boat. Here, it is to be understood that he had come back in the same. If the goods saved were pepper, lac and brazilwood it is safe to assume that the ship did not founder, in which case these products were likely to be spoiled, but was captured by pirates and later on recaptured, most probably by the Fatimid fleet. It is interesting to learn from our letter, l.19–margin l.1, that a merchant could take a credit from the Dīwān, government, in ʿAidhāb. It cannot be assumed that for this he needed the recommendation of representatives of the merchants, as Abū Zikrī would have certainly referred to a relevant document attached. The reason for this extraordinary precaution obviously was the following: the Oriental goods were sent ""en bloc"", with the share, qisṭ, of each merchant indicated in the list handed over to the Wakīl. A considerable part of the sending was lost, margin l. 7. The merchants obviously did not trust the Wakīl to portion off the remainder equitably. About this important aspect of the Wakīl's office, see [reference to be inserted later]."""
8916,Letter,"illness letter 969-1517, illness: limb, bonesetter, Illness, Illness: treatment","Letter fragment from Shabbetay b. Avraham he-Ḥaver (the judge of Minyat Zifta, active 1135–78) to Natan b. Shemuel he-Ḥaver. This is the upper margin and the address only. Shabbetay includes a wish for Natan’s recovery in the address and reports that he was ill himself—with a bone in his leg that had not been set properly—and apologizes for not presenting himself. He had not come to Fustat for five months. Information from Goitein’s note cards and Med Soc II, 44. See also card #27137."
8919,Letter,"ophthalmic, wilaya, Amir","Letter fragment. In Judaeo-Arabic. Dated: Tuesday night, 1 Adar 1539 Seleucid = 9 February 1228 CE. The writer advises the addressee to resort to the intervention of the mothers and wives of certain 'righteous gentiles': Umm Ibrāhīm and her son; the amir Najm al-Dīn; the wife of Jamāl al-Dīn ""who was in the wilāya (=iqṭāʿ?)"" of Mubāriz al-Dīn and represented him ""in the gate of the Sultan""; and Sitt Masʿūd. He also asks the addressee to inquire about ophthalmics (ashyāfāt). Information from Goitein's note card. ASE."
8932,Letter,,"Verso (original use): Petition to a Jewish official in Hebrew and Judaeo-Arabic. Fragment of a calligraphic letter with wide line spacing addressed to “our master” (sayydinā) and referring to a letter addressed to 'all the congregations pertaining to the city of the king (=Cairo)... to all the congregations of the land of Israel and Canaan, and all the exiles beyond the river...."" They congratulate the addressee on the renewal of his 'headship' with various flattering phrases and blessings typical from Arabic state documents. The purpose of this letter is to ""raise our oppression"" to his ""court"" (majlis al-ḥukm). The case concerns what happened after the death of [...]el Ibn al-Makhmūrī.

Recto (secondary use): Possibly the answer, in Hebrew and some Aramaic. Phrases only. Seems to be a letter of condolence on the death of a dignitary, possibly Ibn al-Makhmūrī from verso, or possibly unrelated. Cites Proverbs 31:29 (רבות בנות עשו חיל) (l. 6), but oddly this appears to be in reference to a man. The senders excuse themselves for not coming in person with reference to ""the length of the roads and the wildernesses and the heaviness of the times of heat and the days of cold..."" (Information in part from Goitein’s index card.)"
8947,Letter,"taqbil, Petition","Beginning of a draft petition in Judaeo-Arabic. From a woman, Umm Shemuel of Tyre (al-Ṣūriyya). Dating: no earlier than ca. 1120 (includes taqbīl clause). On verso there are two words in Arabic script with Greek/Coptic numerals."
8951,Letter,,Letter in Judaeo-Arabic. Dating: 11th century. The sender may be in Tinnīs (l. 1). He wants to borrow from “the Great Rav” (a Tunisian rabbi in Egypt) his copy of the book Megillat Setarim of the Tunisian scholar R. Nissim in order to copy it and to return it. (Information from Goitein’s index card)
9038,List or table,"food, grocery list","List in Arabic containing foods including butter, good oil, saffron, mastic, saltwort (ushnān) and sesame, together with weights in raṭls and dirhams and, possibly, prices. Grocery list?"
9042,Legal document,"India, betrothal, IB4","Betrothal (erusin) contract. In the hand of Ḥalfon b. Menashshe. Location: Fustat. Dating: Probably before 1120 CE. Groom: Abū ʿAlī (Yeḥezqel), the brother of Ḥalfon b. Netanel ha-Levi, who agrees to pay a fine of 15 dinars if Abū ʿAlī should cancel the betrothal. IB ח1 (ד66)."
9043,Letter,"India, 12th c, IB4","Letter from Mūsā b. al-Lukhtūsh, probably in Granada, to Ḥalfon b. Netanel. Dating: ca. 1120s CE. The sender mentions among other things that he has sent the addressee a copy of a poem (muwashshaḥ) by Yehuda ha-Levi. (Information from CUDL and India Book ח2 (ד45).)"
9044,Letter,"India, IB4, Yehuda ha-Levi, halfon ha-levi b. netan`el, rosh yeshiva","Letter from Yosef Ibn al-Lukhṭūsh, in Granada, to Ḥalfon b. Netanʾel ha-Levi, in Fustat. Dated: middle of May, 1130 CE. The sender, an Ifrīqiyyan merchant, writes with flowery rhetoric to send condolences on the death of a certain unidentified rosh yeshiva and of Ḥalfon's brother. The handwriting and layout are distinctively Maghribī or Ifrīqiyyan. The letter contains the only nearly explicit evidence thus known that Ḥalfon traveled to al-Andalus before 1130, but Friedman cautions that the reading of the date isn't entirely certain, and it may have been written in 1140. Ibn al-Lukhṭūsh asks Ḥalfon to write to him about his experiences in detail from the time he left al-Andalus until his arrival in Egypt. (Information from Goitein and Friedman, India Book IV; Hebrew description below.) IB ח3 (ד18)."
9045,Legal document,"India, IB4","Legal document. Agreement between Ḥalfon b. Netanel ha-Levi and his partner Abū l-Faraj b. Abū l-Khayr. Location: probably Yemen. Dating: No later than Kislev 1442 Seleucid, which is November/December 1130 CE. Mentions ʿAydhāb. (Information from India Book; Hebrew description below)

Probably Yemen; Before Kislev, 1442; November 4 - December 2, 1130. IB ח4 (ד2)."
9046,Letter,"Yemen, Aden, reshut, al-ghuwwa, yeshiva of fustat, masliah ga`on, contributions, communal controversy, halfon ha-levi b. netan`el","Letter from Yaʿaqov b. Salīm to Ḥalfon ha-Levi b. Natanʾel in al-Ghuwwa, Yemen, ca. summer 1131, concerning the controversy over the reshut of Maṣliaḥ gaʾon over the Jews of Yemen and the collection on behalf of the yeshiva in Fustat. Yaʿaqov b. Salīm, leader of a Jewish community in Yemen, having left Aden and moved to al-Ghuwwa, sends Ḥalfon a secret letter for Maṣliaḥ, head of the Jews in Egypt, and another letter for Abū Zikrī ha-Kohen, representative of the merchants in Fustat. Yaʿaqov b. Salīm had managed to get the Jews in the villages of Yemen to send contributions for Maṣliaḥ, and he asks Ḥalfon to beware lest the letters fall into the hands of his enemies. In case Ḥalfon is delayed on his journey to Egypt, he should ask Abū l-Yumn to deliver the letters personally. Yaʿaqov hopes he will receive an answer from Maṣliaḥ within the year. He also comments on books that he has sent to Ḥalfon, and notes that he had already copied the letter sent to him from al-Ghuwwa while he was staying in Aden. Yaʿaqov b. Salīm had left Aden for al-Ghuwwa because, like others, he was seceding from the authority of Maḍmūn b. Yefet and didn't want to be involved in controversy, all the more so given what we learn from his letter regarding contributions collected for the yeshiva of Palestine in this period of controversy. He himself had sent 34 dinars as an annual contribution from the villages of Yemen. The letter seems not to know that the villages had refrained from contributing that year — a rumor based on the exilarch's preventing the congregation from saying the reshut clause in the name of Maṣliaḥ gaʾon. Yaʿaqov b. Salīm points out that only two villages had not yet contributed, and that when their contribution came, the total contribution of the villages would be 404 dinars, a good amount according to Yaʿaqov b. Salīm, but also a much larger sum that any other geniza document mentions as a contribution to any reshut. Goitein read the sum as 600 (תר) rather than 404 (תד), but after the number the word danān(īr) appears, which in both classical Arabic and in this letter comes only after units. The regular contribution in the name of the gaʾon of Palestine demonstrates the attachment of Yemeni Jews to the central institution of learning. This seems to be the earliest document written from Yemen in the controversy over the reshut. It is exceptional that Yaʿaqov b. Salīm warned Halfon to handle the letter with secrecy and destroy it; fortunately, Halfon didn't obey the warning. The letter is difficult to decipher, but includes specific information about the affair, such as the copying of letters from the Davidic Persians and details about the collection for Maṣliaḥ, as well as greetings to Halfon's children (""his lion cubs""). Yaʿaqov b. Salīm was already known from Mann, Jews in Egypt and in Palestine, 2:366 (doc. 65; read al-Ghuwwa instead of אלגיוהומא). (Information from Friedman and Goitein) IB ח5 (ד10)."
9047,Letter,"India, IB4","Letter in the hand of Ḥalfon ha-Levi b. Netanʾel, writing from Aden. This is the preliminary draft of a letter, written in the form of an account, a 'long daftar' or bifolio folded the long way. In which Ḥalfon gives instructions about managing relationships in the community and the arrival and sending of goods and letters. Dating: 1131. Begins in the middle of a sentence, suggesting that at least one page is missing. Refers to Maḍmūn b. Ḥasan, Ibn Jamāhir, Ḥalfon's doubts about whether to return to Egypt or go to India, the arrival of foreigners in Aden, and Yaʿqūb’s letter, probably Yaʿqūb b. Sālim. Based on all the above, Goitein and Friedman date the letter to 1131.(Information from Goitein and Friedman, India Book IV) IB ח6 (ד9)."
9049,Legal document,"India, IB4, testimony","Legal testimony. Location: Aden. Dating: Ca. summer 1131 CE. Concerns the controversy caused by a Persian Jew, the nephew of the exilarch in Baghdad, who came to Aden and opposed the invocation of the authority of Maṣliaḥ Gaʾon in the qaddish prayer. Khalaf b. Yiṣḥaq supported Maṣliaḥ and was the only one willing to set the controversy down in writing; the other Jews of Aden were too afraid to do so. This document may be written in the hand of the North African trader Yosef Ibn ʿEzra, a partner of Ḥalfon. The Egyptian members of the congregation, by contrast, saw Maṣliaḥ as their authority. (Information from Goitein, The Yemenites, pp. 57–61, and Goitein and Friedman, India Book IV; Hebrew description below.) IB ח8 (ד5)."
9050,Legal document,"India, IB4","Legal testimony. Location: Aden. Dating: ca. summer 1131 CE. Fragment (upper right corner). The handwriting is very similar to that of the North African trader Yosef b. ʿEzra (cf. T-S 20.37 and BL OR 5566D.24 + T-S 10J16.8). This document alludes to controversies and confusion in Aden; the details of the story are almost entirely missing. (Information from Goitein and Friedman, India Book IV.) IB ח9 (ד8)."
9052,Letter,"India, IB4","Letter from Khalaf b. Yiṣḥaq, in Aden, to Ḥalfon b. Netanel ha-Levi, in ʿAydhāb. Dating: after autumn 1131 CE. Mainly in Hebrew, with some Judaeo-Arabic. The location of Ḥalfon and the dating can be deduced based on the mention of the great storm at sea, also mentioned in ח10 (T-S Ar.48.270). This is a letter of gratitude for Ḥalfon's halakhic responsum on matrimonial matters concerning one Abū l-Ṭāhir, who needed to return to Aden from India. Ḥalfon had been asked to write his expert opinion with regard to a man who died without male offspring, in which case his widow was obliged to marry one of his brothers, normally the eldest (levirate marriage). It is reasonable to assume that R. Yaʿaqov, mentioned in l. 22 as someone who admired Ḥalfon's responsum, is Yaʿaqov b. Salīm, who wrote ח5 (CUL Or.1080 J225), who was close both to Ḥalfon and to Khalaf. The greetings at the end confirm the closeness of Khalaf to Maṣliaḥ Gaʾon and to the family members of Ḥalfon (and they shed light on some questions, such as how many brothers Ḥalfon had). (Information from Goitein and Friedman, India Book IV; Hebrew description below.) IB ח11 (ד11)."
9054,Letter,"India, IB4","Letter from Abū Zikrī Kohen, in Fustat, to Ḥalfon b. Netanʾel (here called Abū Saʿīd b. Hibatallāh al-Dimyāṭī). Dating: 1132 CE. This short letter was sent by Abū Zikrī Kohen, the merchant's clerk in Fustat, to Ḥalfon shortly after he left for Qūṣ, on the way to the east. Abū Zikrī Kohen served as Ḥalfon’s representative and paid a debt to Khiyār for him. Also mentioned here are business affairs of Halfon, in which Abū Zikrī Kohen and Khiyār participated together. Other business affairs were between Halfon and Abū Zikrī Kohen alone. Several other personalities were mentioned, some of them known from other places, some of them unknown. The small sums of a few tens of dinars mentioned are probably leftovers from larger transactions. Ḥalfon intended to stay for a certain period in Qūṣ, because Abū Zikrī Kohen knew that he would be there when the letter and the few goods he sent there reached him. From there Ḥalfon intended to go to Aden, and Abū Zikrī Kohen ordered pearls from there for his little son. The letter was written in 1132, and it is alluded to in Abū Zikrī Kohen’s letter to Ḥalfon, from Fustat to Aden, doc. ח15 , ll. 7–13. Abū Zikrī Kohen asked Ḥalfon to write to him from wherever he could get to. This letter opens / refers to itself with the phrase ""tadhkira mubāraka."" (Information from Goitein and Friedman, India Book IV.) IB ח13 (ד3)."
9055,Letter,"India, IB4","Letter of Hillel b. Ṣadoq Av Bet Din, Fustat, to Ḥalfon b. Netanʾel. Dating: probably 1132. Although only a small section from the beginning and the end of the letter with very little other content has been preserved, the very fact of a connection between the writer and the recipient is, according to Friedman, noteworthy. (Information from Goitein and Friedman)"
9056,Letter,"India, IB4","Letter from Abū Zikrī Kohen, in Fustat, to Ḥalfon b. Netanel. Dated: Monday, 1 Shevaṭ 1444 Seleucid, which is 9 January 1133 CE. (Information from India Book 4; full Hebrew description below.) IB ח15 (ה1)."
9057,Legal document,"India, IB4","Deed of release. Written and signed by Ḥalfon b. Netanel ha-Levi. Location: Probably Bharuch, India. Dating: First third of Ṭevet 1445 Seleucid, which is 29 November–8 December 1133 CE. Isḥāq b. Makhlūf al-Nafūsī acknowledges that he received money and goods (pearls and coral) from Barakāt b. Mūsā al-Ḥalabī. Witnesses: Ḥalfon b. Netanel ha-Levi; Avraham b. Shemuel. The validation (qiyyum) is written on a piece of paper pasted on top of the original piece, and it is not signed. India Book 4 (Hebrew description below; full English to come) IB ח16 (ו26)."
9058,Letter,"India, IB4","Letter from Abu Zikri Kohen, representative of the Merchants in Fustat, to Ḥalfon b. Netanel ha-Levi, in Aden. Dated: Adar I 1448 Seleucid = January/February 1134 CE. He writes that after Ḥalfon traveled to India and returned to Aden, the people in Egypt expected him to return home. But then merchants arrived in Egypt from Aden and reported that he was staying there. Previously Ḥalfon had deposited a quantity of pepper in Aden, which he had purchased for Abū Zikrī. He had already written to Maḥrūz b. Yaʿaqov concerning the prices of oriental goods in Egypt, and there was a similar list in the hands of the Egyptian merchant Abū Naṣr b. Avraham, who was then working in Aden. Abu Zikri urges Ḥalfon to buy goods in Aden and return to Egypt. However, if Ḥalfon wishes to return to India, Abu Zikri asks him to leave the pepper in the hands of Yosef b. Avraham, because this is already the third year that Abu Zikri cannot travel to Yemen. According to Abu Zikri, Ḥalfon's previous trip to India was unnecessary. Had he bought goods in Yemen and returned to Egypt in that year he would have made a good profit, for even the young and inexperienced merchants at that time in Egypt made immense profits from the goods they bought in Yemen. At the end of the letter, there are greetings to Ḥalfon from his family and the writer and a request to greet the important people of Aden and to help Abu Nasr b. Avraham. (Information from Goitein and Friedman, India Book IV; Hebrew description below.) IB ח17 (ה2)."
9059,Letter,"India, IB4","Letter from Yiṣḥaq b. Makhlūf al-Nafūsī, in Broach, northwest India, probably to Maḍmūn b. Ḥasan/Yefet, in Aden. Dating: 1134 CE. The addressee is a dignitary referred to as 'rayyis,' and as Goitein surmised, it can be assumed that the recipient is Maḍmūn b. Ḥasan, the head of the Jews of Yemen and the representative of the merchants there. Some of the business was already arranged in Aden, 'in his seat' and in his presence. The writer reports that he stayed in India for a second year. He is sending a large shipment of fabrics to Aden with Barakāt b. Mūsā al-Ḥalabi. (Information from Goitein and Friedman, India Book IV.) 

On verso there are largely undeciphered accounts, including a list of materia medica, in Arabic script and Greek/Coptic numerals. IB ח18 (ו27)."
9060,Letter,"India, IB4","Letter from Yosef b. Avraham b. Bundār, in Aden, to Ḥalfon b. Netanel ha-Levi, in India. Dating: Ca. 1134 CE. Concerning textiles, musk, and pepper imported from India to Aden, and cinnabar, which was shipped in the opposite direction. (Information from India Book 4, Hebrew description below.) IB ח19 (ד15+ב42)."
9061,Letter,"India, IB4","Small fragment of a letter from Yosef b. Avraham, a merchant of Aden, to a certain Abū Saʿīd (likely Abū Saʿīd Ḥalfon b. Netanel ha-Levi). Only the poetic opening (in Hebrew) and the address (in Arabic) are preserved. The wording of the address is similar to those of other letters sent from Yemen to India, so plausibly this letter could have been sent to Ḥalfon during his time there. (Information from Goitein and Friedman, India Book IV; Hebrew description below.) IB ח20 (ד16)."
9063,List or table,"India, IB4","Account of Khalaf b. Yiṣḥaq, Aden, written for Ḥalfon b. Netanʾel in Bharuch, and the only account that survived in the Geniza that a merchant in Aden sent to a business partner in India. Dating: ca. 1134 CE. Sent together with IV,21 (now a new join by Amir Ashur: T-S AS 148.9 + T-S AS 148.197, PGPID 5466), which is a letter from Khalaf b. Yiṣḥaq to Ḥalfon b. Netanʾel. In this account, Khalaf summarizes an entire year of his commercial activities on behalf of Ḥalfon. Includes pepper (828 out of 1469 dinars) and textiles (578.21 dinars), plus a small amount of musk. The amount of 1469 dinars isn't the total amount of business that Khalaf conducted for Ḥalfon, since he didn't sell everything — the pepper, most likely because its price had dropped (r35). Khalaf doesn’t request payment for his services, because the stationary merchant, unlike the traveling merchant, traded for partners outside his home port not in exchange for compensation, but on the basis of reciprocity. Almost all the proceeds were invested immediately in new transactions that had to be done in India. In addition to coral, whose value reached nearly one third of the shipment's value, precious metals were used for this purpose: gold coins and silver (ingots or tools). He gives prices in the coin of Aden, the Malikī dinar, corresponding to 24 qīrāṭs, while textiles are traded in units of kawragha (pl. kawārigh), which is a bundle of twenty thawb (pl. athwāb; the word means not only cloak, but the unit of fabric of the size needed to make one). Also relates to the transactions discussed in a letter from Halfon to Maḍmūn b. Yefet, IV,18 (T-S 13J25.13, PGPID 9059). This cluster of documents also makes it possible to estimate how long Ḥalfon b. Netanʾel was in India. (Information from Goitein/Friedman, IB IV,22) MR"
9065,Legal document,"India, IB4","Deed of release. Written and signed by Ḥalfon b. Menashshe. Location: Fustat. Dated: Middle third of Shevaṭ 1447 Seleucid, which is 15–25 January 1136 CE. Abū Zikrī Yehuda (b. Yosef) ha-Kohen releases Abū Saʿīd Ḥalfon (b. Netanel) ha-Levi from all claims. (Information from India Book 4, Hebrew description below.) IB ח24 (ה3)."
9067,Letter,"India, illness: marad, illness letter 969-1517, IB4, Illness","Letter from Khalaf b. Yiṣḥaq, in Aden, to Ḥalfon b. Netanel. Dating: October 20, 1137 CE (Heshvan 3, 1449 Seleucid). Long letter in which Khalaf writes about an unfortunate turn in his business affairs. Khalaf had sent goods with Abū l-Yumn al-Maḥallī and Abū Zikrī al-Ṣā'igh to Egypt for Abū ʿImrān Ibn Nufayʿ and at that time had asked Ḥalfon to help Abū ʿImrān with the sales and purchases (r17–23). But Abū ʿImrān died, and Ḥalfon traveled to the West, and the two messengers suppressed Khalaf's letters and acted as if the merchandise belonged to them (r23–27). Abū l-Yumn was going to return to Aden, but he fell ill in Qūṣ and had to return to Fustat, and Khalaf does not know his current condition. Abū Zikrī al-Ṣā'igh is planning to travel on to the West. He had with him a container (mikḥala) of musk that was destined for Ḥalfon, but the head of the Jews, Maẓliāh Gaon, took the container from him before he traveled (r27–38). Khalaf has already asked Abū Zikrī Kohen, the representative of the merchants, to go to the courts with the purpose of recouping the value of the goods Khalaf has lost and sending the money back to Aden. In this letter, Khalaf asks Ḥalfon to assist Abū Zikri Kohen in this (r38–53). The letter continues with other business matters, including an update on the shipment of nard (sunbul) for Ḥalfon and his partner Mubārak al-Māliqī (i.e., from Malaga) that was detained in al-Qaṣṣ, evidently a location in NW India (r53–v3). Khalaf concludes with regards for Maṣliaḥ Gaon; for Ḥalfon's brother ʿEli Nezer ha-Maskilim; and for ""the congregations."" Khalaf is preoccupied that he has received no letters from Ḥalfon (v4–10). Information from Goitein and Friedman. ASE. IB ח25 (ד12)."
